identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-1.0979E+18,user,Royaume-Uni,en,147,10,77,26,174,74,104,1,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,3196,106.53,8.88,gb
2347567364561867620,user,Monaco,en,167,8,2,19,170,99,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,3204,106.8,8.9,mc
6870940546848049750,user,France,fr,137,13,60,33,163,94,10,3,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3203,106.77,8.9,fr
-4.64027E+18,user,Etats-Unis,en,131,10,14,122,152,92,7,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,3198,106.6,8.88,us
-5.17583E+18,user,Etats-Unis,en,167,8,0,25,125,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,22,2854,95.13,7.93,us
7631788075812383072,user,Allemagne,de,130,12,1,47,123,91,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3196,106.53,8.88,de
674361423306028463,user,Su?de,en,121,0,1140,31,108,94,531,105,F,3,miss,TRUE,TRUE,FALSE,FALSE,11,3198,106.6,8.88,se
2550976450216757005,user,France,fr,53,9,3,5,106,98,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,2857,95.23,7.94,fr
3718185418791028367,user,Italie,it,744,13764,51671,0,104,85,1842,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,14,3195,106.5,8.88,it
3908244093584862523,user,Royaume-Uni,en,57,8,45,123,92,74,6,2,F,3,miss,TRUE,FALSE,TRUE,TRUE,11,2856,95.2,7.93,gb
-8.29187E+18,user,Italie,it,127,40,863,40,87,89,68,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,it
-7.99281E+18,user,Etats-Unis,en,102,8,0,0,87,98,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,68,2855,95.17,7.93,us
-6.04284E+18,user,Espagne,es,46,19,1308,63,87,92,564,36,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3195,106.5,8.88,es
8027803513424684410,user,Italie,it,35,9,2,185,87,94,2,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,2859,95.3,7.94,it
-1.00932E+18,user,Etats-Unis,en,123,8,1,117,86,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,55,2853,95.1,7.92,us
1205881756843387030,user,Italie,it,45,8,0,17,84,98.7,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,3195,106.5,8.88,it
1450851698857145434,user,Allemagne,de,48,16,599,22,82,89,1016,32,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3203,106.77,8.9,de
-9.2218E+18,user,Espagne,es,176,60,276,18,81,92,1,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2858,95.27,7.94,es
732189832737494520,user,Royaume-Uni,en,47,8,0,10,78,98,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,13,3205,106.83,8.9,gb
8741445689531731651,user,Espagne,es,85,0,115,54,73,90,4,0,M,1,mr,TRUE,TRUE,FALSE,FALSE,11,3202,106.73,8.89,es
8317887111506061089,user,France,fr,107,3649,310,217,70,98,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,3204,106.8,8.9,fr
5145876400632363206,user,France,fr,60,9,41,244,70,88,37,14,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,3197,106.57,8.88,fr
6048206785556031922,user,France,fr,73,27,104,8,69,98,182,115,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2853,95.1,7.92,fr
3275083886092943154,user,Su?de,en,125,500,7044,117,67,90,664,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,16,2855,95.17,7.93,se
5724841529455566712,user,Italie,it,103,431,7,13,66,93,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,15,3202,106.73,8.89,it
-7.10727E+18,user,France,fr,56,8,727,4,66,83,16,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,fr
-7.65917E+18,user,Espagne,es,51,9,66,13,65,90,1,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3195,106.5,8.88,es
-6.66301E+18,user,Croatie,en,50,8,0,44,64,93,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,2856,95.2,7.93,hr
-3.6664E+18,user,Etats-Unis,en,54,8,5,102,63,98,3,0,M,1,mr,FALSE,FALSE,FALSE,TRUE,293,3204,106.8,8.9,us
7927686682563456169,user,Italie,it,47,8,4,9,63,98,1,0,F,2,mrs,TRUE,TRUE,FALSE,TRUE,12,2857,95.23,7.94,it
5993803159989834567,user,France,fr,36,12,35,60,62,87,2,2,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,3196,106.53,8.88,fr
-6.11487E+18,user,Lettonie,en,40,189,68,15,60,90,2,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,3200,106.67,8.89,lv
-5.73681E+18,user,Royaume-Uni,en,23,22,28,23,60,96.4,139,6,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,2855,95.17,7.93,gb
-1.72901E+18,user,Taiwan,en,83,8,4,56,57,98,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,2855,95.17,7.93,tw
